文字列の長さ,RTT(ms)
1,1.52297
10,1.05149
100,0.987211
1000, 2.11531
2000,4.09693
3000,3.92563
4000,4.44781
5000,7.7068
6000,5.28206
7000,8.64586
8000,7.22946
9000,1.29305
10000,12.1914
15000,12.3908
20000,25.6178
25000,30.2116
30000,26.3726
35000,19.0825
40000,20.7088
45000,20.7647
50000,43.4894
55000,39.7471
60000,33.9242
65000, 39.5963
70000, 39.0794
75000, 47.6035
80000, 46.9671
85000, 51.171
90000,64.2586
95000,70.0671
100000,70.3814
110000, 70.5959
120000, 86.12
130000, 83.3865
140000, 56.7885
150000, 100.884
160000, 146.763
170000,68.2375
180000, 114.262
190000, 103.241
200000, 128.819
210000,103.867
250000, 149.915
300000,  202.317
350000, 138.159
400000,  213.18
450000,  273.641
500000,  308.257
550000,  331.74
600000,  309.244
650000,  355.334
700000,  448.877
750000,  474.645
800000,  484.051
850000,  454.921
900000,  487.704
950000,  492.752

















